run_timestamp_utc,random_state,cv_folds,model,round,MAE_rank,CV_MAE,CV_MAE_std,CV_RMSE,CV_R2,parameters
2026-07-21T08:41:11+00:00,42,5,XGBoost,15,23,0.1640187125575586,0.002432999021923744,0.21518153669554105,0.35367983058112606,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.09479632017685916, ""max_depth"": 6, ""min_child_weight"": 7, ""n_estimators"": 600, ""reg_lambda"": 0.1066988271036971, ""subsample"": 0.9}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,16,20,0.16226439307280338,0.003513348461785153,0.21235253854300415,0.37064745001550875,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.08384897993041009, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 0.14063366777718173, ""subsample"": 0.9}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,17,15,0.16012978115014972,0.002789497345674975,0.20912574354017596,0.3895720887990854,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.02525937039366276, ""max_depth"": 3, ""min_child_weight"": 7, ""n_estimators"": 600, ""reg_lambda"": 0.458982418149565, ""subsample"": 1.0}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,18,11,0.15931051905691945,0.0032804131165883547,0.20978862849847313,0.38567235319540066,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03742472165665569, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_lambda"": 1.8841476921545086, ""subsample"": 0.9}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,19,10,0.159004288389332,0.0033049704848855895,0.20884231160298822,0.39123849783631914,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.051790128033953504, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_lambda"": 4.9868654247546385, ""subsample"": 0.7}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,20,4,0.1580614616352377,0.0030580864328884467,0.20729948312650323,0.40024393323619306,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03217594105774984, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_lambda"": 0.7162786999897341, ""subsample"": 0.8}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,21,21,0.16235869193646765,0.002254829917479975,0.21203771940883281,0.37250419356818204,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.024856593160785395, ""max_depth"": 3, ""min_child_weight"": 7, ""n_estimators"": 200, ""reg_lambda"": 1.0402587615883845, ""subsample"": 0.8}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,22,6,0.15845240586155734,0.0036433006781756237,0.2080470372205056,0.3959327110970909,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.033050342821696894, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 400, ""reg_lambda"": 0.2547548433438811, ""subsample"": 0.7}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,23,16,0.16069529332562751,0.003244797453140749,0.210947575492395,0.3788458963446152,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.06684577570363409, ""max_depth"": 5, ""min_child_weight"": 3, ""n_estimators"": 600, ""reg_lambda"": 7.234279845665419, ""subsample"": 0.7}"
2026-07-21T08:41:11+00:00,42,5,XGBoost,24,22,0.16253439134725767,0.0030601947347174622,0.21394542643882009,0.36098243240497574,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.07166334687911738, ""max_depth"": 6, ""min_child_weight"": 7, ""n_estimators"": 600, ""reg_lambda"": 0.23612399244412613, ""subsample"": 0.8}"
